ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;EVENT_VALIDITY;PRIMARY_MAGNITUDE;Lat(y);Long(x);REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV
1992;1967;12;4;;;;1;;-63;-60.5;89;1;;;0
858;1856;3;;;;;3;;-44;172;81;1;;;0.5
1506;1922;12;25;3;3;1;3;6.3;-43;173;81;0.4;;;0
1654;1932;9;15;1;5;5;2;6.8;-39;177.5;81;;;;0
1485;1920;8;20;1;1;3;3;7;-38;-73.5;89;1.4;;0;1
440;1751;5;25;5;3;;4;8.5;-37;-73;89;3.5;;1;3.5
1023;1871;3;25;;;;2;7.5;-35;-72.5;89;1;;;0.5
1609;1928;12;1;4;6;1;3;7.6;-35;-72;89;1.5;;0;0.5
604;1811;11;19;1;1;;2;;-33;-71.4;89;4;;2;2
641;1822;11;20;2;3;;4;8.5;-33;-72;89;3.6;;1;2
847;1855;8;11;9;1;;1;;-33;-71.7;89;;;;0
1082;1877;9;2;;;;1;;-33;-71.6;89;;;;0.5
1092;1878;1;28;;;;1;;-33;-71.6;89;;;;1.5
1113;1878;11;23;;;;2;;-33;-71.6;89;;;;0.5
1114;1879;8;8;;;;2;;-33;-71.6;89;;;;1.5
1339;1906;8;17;0;4;;3;8.2;-33;-72;89;3.5;;1;2
875;1858;4;24;1;1;;2;6.5;-30;-71.4;89;;;1;1
1004;1869;8;9;;;;3;;-30;-71.4;89;3;;;1.5
1849;1955;4;19;2;2;5;4;7.1;-30;-72;89;1;;;1
1450;1917;11;16;3;1;2;2;7.5;-29;-177.5;81;2.5;;1;1
1573;1926;12;9;;;;2;6;-28;-71;89;;;0;0.5
626;1819;4;12;3;0;;4;8.5;-27;-71.5;89;4;;2;2
1461;1918;12;4;1;4;4;4;7.8;-26;-71;89;5;;2;2.5
1083;1877;10;9;;;;1;;-24;-71;89;;;;0.5
5408;1869;8;21;1;4;;1;6.8;-21;-70;89;;;;0
1784;1948;9;8;1;9;0;4;7.8;-21;-174;81;2;;1;1.5
1062;1875;3;28;;;;3;8;-20;168.5;82;4;;2;2.5
929;1863;8;17;;;;2;7.5;-19;168.5;82;;;;1
1086;1878;1;10;;;;3;7.5;-19;168.5;82;12;;3;3
1096;1878;2;11;;;;3;8;-19;168.5;82;;;1;1.5
991;1868;10;2;;;;2;;-17;-72.5;89;;;;0.5
1122;1881;7;12;;;;2;;-16;179;81;0.46;;1;1
1751;1942;8;24;2;5;2;4;8.2;-15;-76;89;2;;1;1
1025;1871;8;21;;;;2;7;-13;-77;89;;;1;1
1596;1928;4;9;1;3;1;1;6.9;-13;-69.6;89;;;;1
581;1799;;;;;;2;;-12;-77;89;;;;1
935;1865;1;8;;;;3;;-12;-77.1;89;2;;1;1.5
1091;1878;1;27;;;;3;;-12;-77;89;;;;1.5
1411;1914;1;12;;;;2;;-12;-76.6;89;1;;;1.5
