Lat(y);Long(x);PGA
-35.000;15.000;0.0264
-34.750;15.000;0.0306
-34.500;15.000;0.0306
-34.250;15.000;0.0306
-34.000;15.000;0.0314
-33.750;15.000;0.0305
-33.500;15.000;0.0297
-33.250;15.000;0.0203
-33.000;15.000;0.0203
-32.750;15.000;0.0202
-32.500;15.000;0.0190
-32.250;15.000;0.0179
-32.000;15.000;0.0158
-31.750;15.000;0.0148
-31.500;15.000;0.0139
-31.250;15.000;0.0133
-31.000;15.000;0.0198
-30.750;15.000;0.0192
-30.500;15.000;0.0193
-30.250;15.000;0.0193
-30.000;15.000;0.0205
-29.750;15.000;0.0220
-29.500;15.000;0.0205
-29.250;15.000;0.0201
-29.000;15.000;0.0197
-28.750;15.000;0.0200
-28.500;15.000;0.0195
-28.250;15.000;0.0191
-28.000;15.000;0.0182
-27.750;15.000;0.0174
-27.500;15.000;0.0160
-27.250;15.000;0.0148
-27.000;15.000;0.0113
-26.750;15.000;0.0109
-26.500;15.000;0.0107
-26.250;15.000;0.0106
-26.000;15.000;0.0106
-25.750;15.000;0.0105
-25.500;15.000;0.0101
-25.250;15.000;0.0096
-25.000;15.000;0.0089
-24.750;15.000;0.0081
-24.500;15.000;0.0064
-24.250;15.000;0.0021
-24.000;15.000;0.0021
-23.750;15.000;0.0021
-23.500;15.000;0.0001
-23.250;15.000;0.0001
-23.000;15.000;0.0001
-22.750;15.000;0.0001
-22.500;15.000;0.0001
-22.250;15.000;0.0001
-22.000;15.000;0.0001
-21.750;15.000;0.0001
-21.500;15.000;0.0001
-21.250;15.000;0.0001
-21.000;15.000;0.0001
-35.000;15.250;0.0268
-34.750;15.250;0.0308
-34.500;15.250;0.0307
-34.250;15.250;0.0307
-34.000;15.250;0.0318
-33.750;15.250;0.0307
-33.500;15.250;0.0299
-33.250;15.250;0.0227
-33.000;15.250;0.0205
-32.750;15.250;0.0204
-32.500;15.250;0.0194
-32.250;15.250;0.0184
-32.000;15.250;0.0166
-31.750;15.250;0.0158
-31.500;15.250;0.0152
-31.250;15.250;0.0147
-31.000;15.250;0.0200
-30.750;15.250;0.0194
-30.500;15.250;0.0194
-30.250;15.250;0.0194
-30.000;15.250;0.0205
-29.750;15.250;0.0221
-29.500;15.250;0.0206
-29.250;15.250;0.0201
-29.000;15.250;0.0198
-28.750;15.250;0.0197
-28.500;15.250;0.0197
-28.250;15.250;0.0198
-28.000;15.250;0.0189
-27.750;15.250;0.0180
-27.500;15.250;0.0166
-27.250;15.250;0.0155
-27.000;15.250;0.0123
-26.750;15.250;0.0109
-26.500;15.250;0.0107
-26.250;15.250;0.0108
-26.000;15.250;0.0109
-25.750;15.250;0.0108
-25.500;15.250;0.0104
-25.250;15.250;0.0099
-25.000;15.250;0.0093
-24.750;15.250;0.0083
-24.500;15.250;0.0067
-24.250;15.250;0.0030
-24.000;15.250;0.0030
-23.750;15.250;0.0030
-23.500;15.250;0.0001
-23.250;15.250;0.0001
-23.000;15.250;0.0001
-22.750;15.250;0.0001
-22.500;15.250;0.0001
-22.250;15.250;0.0001
-22.000;15.250;0.0001
-21.750;15.250;0.0001
-21.500;15.250;0.0001
-21.250;15.250;0.0001
-21.000;15.250;0.0001
-35.000;15.500;0.0271
-34.750;15.500;0.0309
-34.500;15.500;0.0309
-34.250;15.500;0.0308
-34.000;15.500;0.0320
-33.750;15.500;0.0308
-33.500;15.500;0.0300
-33.250;15.500;0.0231
-33.000;15.500;0.0206
-32.750;15.500;0.0205
-32.500;15.500;0.0196
-32.250;15.500;0.0187
-32.000;15.500;0.0171
-31.750;15.500;0.0164
-31.500;15.500;0.0160
-31.250;15.500;0.0157
-31.000;15.500;0.0202
-30.750;15.500;0.0196
-30.500;15.500;0.0194
-30.250;15.500;0.0194
-30.000;15.500;0.0205
-29.750;15.500;0.0222
-29.500;15.500;0.0206
-29.250;15.500;0.0201
-29.000;15.500;0.0197
-28.750;15.500;0.0194
-28.500;15.500;0.0191
-28.250;15.500;0.0191
-28.000;15.500;0.0187
-27.750;15.500;0.0182
-27.500;15.500;0.0172
-27.250;15.500;0.0161
-27.000;15.500;0.0129
-26.750;15.500;0.0109
-26.500;15.500;0.0108
-26.250;15.500;0.0109
-26.000;15.500;0.0118
-25.750;15.500;0.0158
-25.500;15.500;0.0115
-25.250;15.500;0.0106
-25.000;15.500;0.0101
-24.750;15.500;0.0095
-24.500;15.500;0.0083
-24.250;15.500;0.0059
-24.000;15.500;0.0059
-23.750;15.500;0.0059
-23.500;15.500;0.0001
-23.250;15.500;0.0001
-23.000;15.500;0.0001
-22.750;15.500;0.0001
-22.500;15.500;0.0001
-22.250;15.500;0.0001
-22.000;15.500;0.0001
-21.750;15.500;0.0001
-21.500;15.500;0.0001
-21.250;15.500;0.0001
-21.000;15.500;0.0001
-35.000;15.750;0.0272
-34.750;15.750;0.0298
-34.500;15.750;0.0310
-34.250;15.750;0.0309
-34.000;15.750;0.0321
-33.750;15.750;0.0308
-33.500;15.750;0.0301
-33.250;15.750;0.0233
-33.000;15.750;0.0207
-32.750;15.750;0.0206
-32.500;15.750;0.0197
-32.250;15.750;0.0189
-32.000;15.750;0.0174
-31.750;15.750;0.0168
-31.500;15.750;0.0166
-31.250;15.750;0.0163
-31.000;15.750;0.0203
-30.750;15.750;0.0197
-30.500;15.750;0.0195
-30.250;15.750;0.0195
-30.000;15.750;0.0206
-29.750;15.750;0.0222
-29.500;15.750;0.0206
-29.250;15.750;0.0202
-29.000;15.750;0.0196
-28.750;15.750;0.0192
-28.500;15.750;0.0184
-28.250;15.750;0.0182
-28.000;15.750;0.0173
-27.750;15.750;0.0165
-27.500;15.750;0.0154
-27.250;15.750;0.0144
-27.000;15.750;0.0110
-26.750;15.750;0.0109
-26.500;15.750;0.0108
-26.250;15.750;0.0108
-26.000;15.750;0.0109
-25.750;15.750;0.0149
-25.500;15.750;0.0206
-25.250;15.750;0.0844
-25.000;15.750;0.0168
-24.750;15.750;0.0104
-24.500;15.750;0.0095
-24.250;15.750;0.0079
-24.000;15.750;0.0090
-23.750;15.750;0.0112
-23.500;15.750;0.0096
-23.250;15.750;0.0020
-23.000;15.750;0.0001
-22.750;15.750;0.0001
-22.500;15.750;0.0001
-22.250;15.750;0.0001
-22.000;15.750;0.0001
-21.750;15.750;0.0001
-21.500;15.750;0.0001
-21.250;15.750;0.0001
-21.000;15.750;0.0001
-35.000;16.000;0.0273
-34.750;16.000;0.0298
-34.500;16.000;0.0310
-34.250;16.000;0.0309
-34.000;16.000;0.0322
-33.750;16.000;0.0308
-33.500;16.000;0.0301
-33.250;16.000;0.0235
-33.000;16.000;0.0234
-32.750;16.000;0.0207
-32.500;16.000;0.0198
-32.250;16.000;0.0190
-32.000;16.000;0.0176
-31.750;16.000;0.0171
-31.500;16.000;0.0170
-31.250;16.000;0.0203
-31.000;16.000;0.0203
-30.750;16.000;0.0198
-30.500;16.000;0.0202
-30.250;16.000;0.0213
-30.000;16.000;0.0217
-29.750;16.000;0.0280
-29.500;16.000;0.0264
-29.250;16.000;0.0233
-29.000;16.000;0.0218
-28.750;16.000;0.0206
-28.500;16.000;0.0201
-28.250;16.000;0.0196
-28.000;16.000;0.0191
-27.750;16.000;0.0178
-27.500;16.000;0.0170
-27.250;16.000;0.0157
-27.000;16.000;0.0138
-26.750;16.000;0.0109
-26.500;16.000;0.0108
-26.250;16.000;0.0108
