       Lat(y)	    Long(x)	   Modified Mercalli Intensity
       -27.100      27.100         0.0001
       -27.050      27.100         0.0001
       -27.000      27.100         0.0001
       -26.950      27.100         0.0001
       -26.900      27.100         0.0001
       -26.850      27.100         0.0100
       -26.800      27.100         5.1441
       -26.750      27.100         6.0254
       -26.700      27.100         6.5807
       -26.650      27.100         6.9824
       -26.600      27.100         7.2581
       -26.550      27.100         7.4426
       -26.500      27.100         7.5621
       -26.450      27.100         7.6225
       -26.400      27.100         7.6358
       -26.350      27.100         7.5925
       -26.300      27.100         7.4949
       -26.250      27.100         7.3394
       -26.200      27.100         7.1031
       -26.150      27.100         6.7505
       -26.100      27.100         6.2123
       -26.050      27.100         5.2656
       -26.000      27.100         3.9877
       -25.950      27.100         4.4373
       -25.900      27.100         4.9552
       -25.850      27.100         5.2911
       -25.800      27.100         5.5189
       -25.750      27.100         5.6685
       -25.700      27.100         5.7573
       -25.650      27.100         5.7979
       -25.600      27.100         5.7918
       -25.550      27.100         5.7354
       -25.500      27.100         5.6391
       -25.450      27.100         5.4880
       -25.400      27.100         5.3034
       -25.350      27.100         5.0591
       -25.300      27.100         4.7241
       -25.250      27.100         4.2468
       -25.200      27.100         3.4200
       -25.150      27.100         0.0100
       -25.100      27.100         0.0100
       -25.050      27.100         0.0100
       -25.000      27.100         0.0100
       -24.950      27.100         0.0001
       -24.900      27.100         0.0001
       -27.100      27.150         0.0001
       -27.050      27.150         0.0001
       -27.000      27.150         0.0001
       -26.950      27.150         0.0001
       -26.900      27.150         0.0100
       -26.850      27.150         3.8830
       -26.800      27.150         5.6389
       -26.750      27.150         6.3938
       -26.700      27.150         6.9050
       -26.650      27.150         7.2603
       -26.600      27.150         7.5018
       -26.550      27.150         7.6679
       -26.500      27.150         7.7746
       -26.450      27.150         7.8325
       -26.400      27.150         7.8435
       -26.350      27.150         7.8055
       -26.300      27.150         7.7181
       -26.250      27.150         7.5785
       -26.200      27.150         7.3657
       -26.150      27.150         7.0670
       -26.100      27.150         6.6154
       -26.050      27.150         5.9090
       -26.000      27.150         4.8647
       -25.950      27.150         4.9100
       -25.900      27.150         5.2760
       -25.850      27.150         5.5546
       -25.800      27.150         5.7532
       -25.750      27.150         5.8880
       -25.700      27.150         5.9711
       -25.650      27.150         6.0048
       -25.600      27.150         5.9923
       -25.550      27.150         5.9370
       -25.500      27.150         5.8343
       -25.450      27.150         5.6835
       -25.400      27.150         5.5080
       -25.350      27.150         5.2743
       -25.300      27.150         4.9743
       -25.250      27.150         4.5674
       -25.200      27.150         3.9154
       -25.150      27.150         0.0100
       -25.100      27.150         0.0100
       -25.050      27.150         0.0100
       -25.000      27.150         0.0100
       -24.950      27.150         0.0001
       -24.900      27.150         0.0001
       -27.100      27.200         0.0001
       -27.050      27.200         0.0001
       -27.000      27.200         0.0001
       -26.950      27.200         0.0100
       -26.900      27.200         0.0100
       -26.850      27.200         4.7877
       -26.800      27.200         6.0096
       -26.750      27.200         6.6981
       -26.700      27.200         7.1461
       -26.650      27.200         7.4630
       -26.600      27.200         7.6836
       -26.550      27.200         7.8384
       -26.500      27.200         7.9376
       -26.450      27.200         7.9914
       -26.400      27.200         8.0009
       -26.350      27.200         7.9678
       -26.300      27.200         7.8900
       -26.250      27.200         7.7603
       -26.200      27.200         7.5661
       -26.150      27.200         7.2956
       -26.100      27.200         6.9100
       -26.050      27.200         6.3257
       -26.000      27.200         5.4355
       -25.950      27.200         5.2185
       -25.900      27.200         5.5100
       -25.850      27.200         5.7580
       -25.800      27.200         5.9355
       -25.750      27.200         6.0580
       -25.700      27.200         6.1321
       -25.650      27.200         6.1595
       -25.600      27.200         6.1431
       -25.550      27.200         6.0846
       -25.500      27.200         5.9782
       -25.450      27.200         5.8300
       -25.400      27.200         5.6539
       -25.350      27.200         5.4257
       -25.300      27.200         5.1300
       -25.250      27.200         4.7548
       -25.200      27.200         4.1977
       -25.150      27.200         2.0100
       -25.100      27.200         0.0100
       -25.050      27.200         0.0100
       -25.000      27.200         0.0100
       -24.950      27.200         0.0001
       -24.900      27.200         0.0001
       -27.100      27.250         0.0001
       -27.050      27.250         0.0100
       -27.000      27.250         0.0100
       -26.950      27.250         0.0100
       -26.900      27.250         0.0100
       -26.850      27.250         5.2300
       -26.800      27.250         6.2754
       -26.750      27.250         6.9173
       -26.700      27.250         7.3238
       -26.650      27.250         7.6126
       -26.600      27.250         7.8200
       -26.550      27.250         7.9641
       -26.500      27.250         8.0575
       -26.450      27.250         8.1076
       -26.400      27.250         8.1161
       -26.350      27.250         8.0865
       -26.300      27.250         8.0151
       -26.250      27.250         7.8941
       -26.200      27.250         7.7125
       -26.150      27.250         7.4614
       -26.100      27.250         7.1185
       -26.050      27.250         6.6104
       -26.000      27.250         5.8254
       -25.950      27.250         5.4546
       -25.900      27.250         5.6900
       -25.850      27.250         5.9071
       -25.800      27.250         6.0716
       -25.750      27.250         6.1845
       -25.700      27.250         6.2500
       -25.650      27.250         6.2717
       -25.600      27.250         6.2504
       -25.550      27.250         6.1908
       -25.500      27.250         6.0833
       -25.450      27.250         5.9324
       -25.400      27.250         5.7507
       -25.350      27.250         5.5153
       -25.300      27.250         5.2240
       -25.250      27.250         4.8590
       -25.200      27.250         4.3439
       -25.150      27.250         3.3183
       -25.100      27.250         0.0100
       -25.050      27.250         0.0100
       -25.000      27.250         0.0100
       -24.950      27.250         0.0001
       -24.900      27.250         0.0001
       -27.100      27.300         0.0100
       -27.050      27.300         0.0100
       -27.000      27.300         0.0100
       -26.950      27.300         0.0100
       -26.900      27.300         3.0100
       -26.850      27.300         5.5566
       -26.800      27.300         6.4817
       -26.750      27.300         7.0687
       -26.700      27.300         7.4495
       -26.650      27.300         7.7207
       -26.600      27.300         7.9171
       -26.550      27.300         8.0541
       -26.500      27.300         8.1420
       -26.450      27.300         8.1893
       -26.400      27.300         8.1972
       -26.350      27.300         8.1675
       -26.300      27.300         8.1007
       -26.250      27.300         7.9886
       -26.200      27.300         7.8184
       -26.150      27.300         7.5822
       -26.100      27.300         7.2606
       -26.050      27.300         6.7984
       -26.000      27.300         6.1182
       -25.950      27.300         5.6480
       -25.900      27.300         5.8250
       -25.850      27.300         6.0216
       -25.800      27.300         6.1753
       -25.750      27.300         6.2791
       -25.700      27.300         6.3382
       -25.650      27.300         6.3547
       -25.600      27.300         6.3280
       -25.550      27.300         6.2645
       -25.500      27.300         6.1533
       -25.450      27.300         6.0025
       -25.400      27.300         5.8153
       -25.350      27.300         5.5756
       -25.300      27.300         5.2766
       -25.250      27.300         4.9100
       -25.200      27.300         4.3937
       -25.150      27.300         3.6100
       -25.100      27.300         0.0100
       -25.050      27.300         0.0100
       -25.000      27.300         0.0100
       -24.950      27.300         0.0100
       -24.900      27.300         0.0001
       -27.100      27.350         0.0100
       -27.050      27.350         0.0100
       -27.000      27.350         0.0100
       -26.950      27.350         0.0100
       -26.900      27.350         4.0753
       -26.850      27.350         5.7467
       -26.800      27.350         6.6234
       -26.750      27.350         7.1676
       -26.700      27.350         7.5322
       -26.650      27.350         7.7921
       -26.600      27.350         7.9810
       -26.550      27.350         8.1109
       -26.500      27.350         8.1942
       -26.450      27.350         8.2408
       -26.400      27.350         8.2489
       -26.350      27.350         8.2189
       -26.300      27.350         8.1548
       -26.250      27.350         8.0475
       -26.200      27.350         7.8860
       -26.150      27.350         7.6586
       -26.100      27.350         7.3521
       -26.050      27.350         6.9360
       -26.000      27.350         6.3228
       -25.950      27.350         5.8114
       -25.900      27.350         5.9205
       -25.850      27.350         6.1015
       -25.800      27.350         6.2449
       -25.750      27.350         6.3400
       -25.700      27.350         6.3938
       -25.650      27.350         6.4065
       -25.600      27.350         6.3759
       -25.550      27.350         6.3044
       -25.500      27.350         6.1881
       -25.450      27.350         6.0336
       -25.400      27.350         5.8400
       -25.350      27.350         5.5966
       -25.300      27.350         5.2809
       -25.250      27.350         4.9040
       -25.200      27.350         4.3918
       -25.150      27.350         3.6282
       -25.100      27.350         0.0100
       -25.050      27.350         0.0100
       -25.000      27.350         0.0100
       -24.950      27.350         0.0100
       -24.900      27.350         0.0001
       -27.100      27.400         0.0100
       -27.050      27.400         0.0100
       -27.000      27.400         0.0100
       -26.950      27.400         3.1314
       -26.900      27.400         4.5410
       -26.850      27.400         5.8552
       -26.800      27.400         6.7125
       -26.750      27.400         7.2283
       -26.700      27.400         7.5739
       -26.650      27.400         7.8290
       -26.600      27.400         8.0147
       -26.550      27.400         8.1397
       -26.500      27.400         8.2195
       -26.450      27.400         8.2639
       -26.400      27.400         8.2735
       -26.350      27.400         8.2442
       -26.300      27.400         8.1800
       -26.250      27.400         8.0768
       -26.200      27.400         7.9218
       -26.150      27.400         7.7013
       -26.100      27.400         7.4053
       -26.050      27.400         6.9978
       -26.000      27.400         6.4383
       -25.950      27.400         5.9329
       -25.900      27.400         5.9928
       -25.850      27.400         6.1537
       -25.800      27.400         6.2863
       -25.750      27.400         6.3741
       -25.700      27.400         6.4218
       -25.650      27.400         6.4275
       -25.600      27.400         6.3923
       -25.550      27.400         6.3145
       -25.500      27.400         6.1969
       -25.450      27.400         6.0367
       -25.400      27.400         5.8335
       -25.350      27.400         5.5815
       -25.300      27.400         5.2491
       -25.250      27.400         4.8643
       -25.200      27.400         4.3646
