Year	Month	Day	Lat(y)	Long(x)	Magnitude
1975	1	3	-26.5	27.4	3.5
1975	1	5	-26.5	27.5	4.1
1975	1	5	-26.3	27	2.9
1975	1	7	-26.6	24.2	2.6
1975	1	8	-29.6	30.4	3.5
1975	1	11	-26.4	27.4	2.9
1975	1	14	-26.2	27.2	2.2
1975	1	14	-26.7	26.5	2.4
1975	1	24	-26.5	27.6	3.1
1975	1	25	-26.4	28.4	3.4
1975	1	25	-27.1	26.9	3.1
1975	1	26	-26.4	27.5	3.1
1975	2	3	-26.4	27.4	3.3
1975	2	3	-26.2	27.6	2.8
1975	2	6	-26.8	26.7	2.8
1975	2	8	-26.3	27.4	3
1975	2	8	-27	26.8	3.8
1975	2	9	-26.3	28.1	2.7
1975	2	11	-26.5	27.5	4
1975	2	13	-26.4	27.4	3.1
1975	2	13	-26.5	27.7	3
1975	2	15	-26.5	27.5	3.2
1975	2	15	-26.4	27.5	3.1
1975	2	19	-26.4	27.3	2.9
1975	2	20	-26.3	27.3	3
1975	2	20	-26.4	27.3	2.7
1975	2	21	-26.3	27.6	3.1
1975	2	21	-26.3	27.3	3.3
1975	2	23	-26.2	27.7	3.6
1975	2	24	-26.4	27.4	2.5
1975	2	24	-26.3	27.4	3
1975	2	24	-26.8	26.7	2.8
1975	2	25	-26.4	27.4	3.4
1975	2	26	-26.4	27.3	2.6
1975	2	26	-26.4	27.2	3.2
1975	2	26	-26.9	26.7	3.4
1975	3	3	-28.1	26.8	2.7
1975	3	6	-26.5	27.5	3.6
1975	3	7	-28	26.8	2.7
1975	3	8	-26.9	26.8	2.9
1975	3	11	-26.9	26.6	2.7
1975	3	12	-28	26.7	3
1975	3	13	-26.3	27.3	3.3
1975	3	13	-26.5	27.5	3.3
1975	3	16	-26.4	27.5	3.9
1975	3	19	-26.3	28.2	3.7
1975	3	21	-28.1	26.9	2.9
1975	3	21	-26.4	27.4	3.4
1975	3	24	-26.3	27.1	3.2
1975	3	26	-26.5	27.4	3.4
1975	4	3	-26.4	27.3	2.9
1975	4	3	-26.4	27.3	3.3
1975	4	4	-26.4	27.2	3.6
1975	4	4	-26.5	27.4	3.5
1975	4	4	-26.3	27.4	3.4
1975	4	4	-26.5	27.2	3.3
1975	4	5	-26.3	27.3	2.9
1975	4	6	-26.9	26.8	3.4
1975	4	8	-26.4	27.5	2.9
1975	4	12	-26.3	27.3	2.9
1975	4	12	-26.8	26.8	3.5
1975	4	13	-26.4	27.2	3.2
1975	4	16	-26.4	27.2	2.5
1975	4	16	-26.4	27.4	2.8
1975	4	16	-26.1	27.9	2.9
1975	4	17	-26.4	27.3	3.4
1975	4	17	-26.4	27.3	3.2
1975	4	17	-26.4	27.3	2.3
1975	4	18	-26.4	27.3	2.9
1975	4	18	-26.5	27.5	3.4
1975	4	22	-26.9	26.9	3.6
1975	4	23	-26.9	26.8	2.9
1975	4	24	-26.4	27.3	2.9
1975	4	24	-26.4	27.4	2.9
1975	4	24	-26.4	27.3	2.7
1975	4	25	-26.4	27.3	2.3
1975	4	25	-26.4	27.4	2.7
1975	4	26	-26.4	27.3	2.5
1975	4	26	-26.4	27.4	1.9
1975	4	27	-26.4	27.2	2.8
1975	4	29	-26.4	27.2	3.2
1975	4	30	-26.4	27.4	3.4
1975	5	1	-26.1	27.7	2.5
1975	5	2	-26.2	28.2	3
1975	5	4	-26.1	28	2.6
1975	5	7	-24.4	27.7	2.8
1975	5	8	-26.3	28.4	3
1975	5	9	-26.4	27.4	3.7
1975	5	11	-26.4	27.4	3.7
1975	5	11	-26.5	27.3	2.5
1975	5	14	-28.8	25.8	3.7
1975	5	14	-26.3	27.3	3.5
1975	5	14	-26.3	27.5	2.9
1975	5	16	-28.1	26.9	2.8
1975	5	16	-26.4	27.3	3.4
1975	5	17	-26.4	27.5	3.1
1975	5	17	-26.4	27.5	3.1
1975	5	17	-26.1	28	2.4
1975	5	17	-26.1	28	2.3
1975	5	18	-26.3	27.2	2.2
1975	5	18	-26.4	27.3	2.4
1975	5	19	-26.3	27.5	2.3
1975	5	19	-26.4	27.4	2.2
1975	5	19	-26.2	28.1	2.5
1975	5	20	-27.9	26.5	2.8
1975	5	20	-26.1	28.2	3
1975	5	21	-26.4	27.4	3
1975	5	21	-26.2	28.1	3
1975	5	21	-26.1	27.7	3
1975	5	22	-26.4	27.2	2.4
1975	5	22	-26.3	27.2	3
1975	5	23	-26.7	26.9	3
1975	5	23	-28.1	26.8	3.2
1975	5	24	-26.4	27.4	2.6
1975	5	25	-26.4	27.4	3.7
1975	5	25	-26.4	27.3	2.1
1975	5	27	-27.8	26.5	3.6
1975	5	30	-28.1	26.9	2.5
1975	5	30	-26.4	27.3	3
1975	5	31	-26.8	26.8	3.5
1975	6	1	-26.4	27.3	2.6
1975	6	1	-26.4	27.3	2.5
1975	6	1	-26.3	27.3	2.8
1975	6	2	-28.1	26.8	3.6
1975	6	2	-26.3	27.3	2.3
1975	6	3	-26.1	28	2.4
1975	6	3	-26.3	27.3	2.4
1975	6	4	-26.9	27	4
1975	6	5	-26.3	27.3	3.1
1975	6	7	-26.4	27.4	3.3
1975	6	8	-29.5	25.3	4.5
1975	6	9	-26.9	26.7	2.8
1975	6	10	-29.5	25.1	3.3
1975	6	10	-26.4	27.4	3.1
1975	6	11	-26.4	27.3	3.2
1975	6	15	-28	27	2.8
1975	6	16	-28	26.6	2.7
1975	6	17	-26.2	27.6	3.1
1975	6	18	-26.2	28.1	2.9
1975	6	19	-26.4	27.5	3.3
1975	6	25	-26.4	27.4	3.7
1975	6	25	-26.4	27.4	3
1975	6	26	-26	28.2	3.9
1975	6	26	-28	26.8	3.5
1975	6	27	-25.7	27.6	3.2
1975	7	1	-26.4	27.5	3.8
1975	7	3	-26.2	28.2	3.7
1975	7	3	-26.2	28.1	3.8
1975	7	3	-26.8	26.7	3.1
1975	7	3	-28	26.8	3.4
1975	7	4	-26.5	27.6	3.1
1975	7	4	-26.4	27.5	3.2
1975	7	6	-26.4	27.5	3.3
1975	7	10	-26.4	27.4	3.4
1975	7	15	-26.9	26.8	3.7
1975	7	15	-26.7	26.5	3.4
1975	7	15	-26.4	27.4	3.4
1975	7	16	-26.2	28.1	3.3
1975	7	16	-26.9	26.8	2.7
1975	7	17	-26.3	27.3	3.2
1975	7	18	-26.4	27.4	3.2
1975	7	21	-27.9	26.7	3.2
1975	7	21	-26.8	28.1	3.5
1975	7	22	-26.6	28.5	3.3
1975	7	28	-26.3	27.3	3.1
1975	7	30	-26.2	28.1	3.5
1975	7	31	-26.3	27.3	3.7
1975	7	31	-26.3	27.1	3
1975	8	3	-26.4	27.3	3
1975	8	3	-22.1	30.9	3.3
1975	8	4	-26.3	27.8	3.4
1975	8	11	-26.4	27.5	3.2
1975	8	13	-26.4	27.4	3.4
1975	8	14	-26.4	27.6	3.9
1975	8	19	-26.9	26.7	3.5
1975	8	23	-26.4	27.4	3.2
