Lat(y);Long(x);Damage
-27.1;27.1;0
-27.05;27.1;0
-27;27.1;0
-26.95;27.1;0
-26.9;27.1;0
-26.85;27.1;0
-26.8;27.1;2.18
-26.75;27.1;3.31
-26.7;27.1;8.97
-26.65;27.1;13.06
-26.6;27.1;16.99
-26.55;27.1;19.68
-26.5;27.1;21.42
-26.45;27.1;22.3
-26.4;27.1;22.49
-26.35;27.1;21.86
-26.3;27.1;20.44
-26.25;27.1;18.18
-26.2;27.1;14.74
-26.15;27.1;10.69
-26.1;27.1;5.22
-26.05;27.1;2.3
-26;27.1;0
-25.95;27.1;1.46
-25.9;27.1;1.99
-25.85;27.1;2.33
-25.8;27.1;2.56
-25.75;27.1;2.72
-25.7;27.1;2.81
-25.65;27.1;2.85
-25.6;27.1;2.84
-25.55;27.1;2.78
-25.5;27.1;2.69
-25.45;27.1;2.53
-25.4;27.1;2.34
-25.35;27.1;2.09
-25.3;27.1;1.75
-25.25;27.1;1.27
-25.2;27.1;0
-25.15;27.1;0
-25.1;27.1;0
-25.05;27.1;0
-25;27.1;0
-24.95;27.1;0
-24.9;27.1;0
-27.1;27.15;0
-27.05;27.15;0
-27;27.15;0
-26.95;27.15;0
-26.9;27.15;0
-26.85;27.15;0
-26.8;27.15;2.69
-26.75;27.15;7.06
-26.7;27.15;12.27
-26.65;27.15;17.02
-26.6;27.15;20.54
-26.55;27.15;22.96
-26.5;27.15;24.51
-26.45;27.15;25.36
-26.4;27.15;25.52
-26.35;27.15;24.96
-26.3;27.15;23.69
-26.25;27.15;21.66
-26.2;27.15;18.56
-26.15;27.15;14.21
-26.1;27.15;9.32
-26.05;27.15;2.96
-26;27.15;1.9
-25.95;27.15;1.94
-25.9;27.15;2.32
-25.85;27.15;2.6
-25.8;27.15;2.8
-25.75;27.15;2.94
-25.7;27.15;3.02
-25.65;27.15;3.1
-25.6;27.15;3.05
-25.55;27.15;2.99
-25.5;27.15;2.88
-25.45;27.15;2.73
-25.4;27.15;2.55
-25.35;27.15;2.31
-25.3;27.15;2.01
-25.25;27.15;1.59
-25.2;27.15;0
-25.15;27.15;0
-25.1;27.15;0
-25.05;27.15;0
-25;27.15;0
-24.95;27.15;0
-24.9;27.15;0
-27.1;27.2;0
-27.05;27.2;0
-27;27.2;0
-26.95;27.2;0
-26.9;27.2;0
-26.85;27.2;1.82
-26.8;27.2;3.15
-26.75;27.2;10.16
-26.7;27.2;15.36
-26.65;27.2;19.98
-26.6;27.2;23.19
-26.55;27.2;25.44
-26.5;27.2;26.89
-26.45;27.2;27.67
-26.4;27.2;27.81
-26.35;27.2;27.33
-26.3;27.2;26.19
-26.25;27.2;24.3
-26.2;27.2;21.48
-26.15;27.2;17.54
-26.1;27.2;12.32
-26.05;27.2;6.37
-26;27.2;2.48
-25.95;27.2;2.26
-25.9;27.2;2.55
-25.85;27.2;2.81
-25.8;27.2;2.99
-25.75;27.2;3.64
-25.7;27.2;4.4
-25.65;27.2;4.68
-25.6;27.2;4.51
-25.55;27.2;3.92
-25.5;27.2;3.03
-25.45;27.2;2.88
-25.4;27.2;2.7
-25.35;27.2;2.47
-25.3;27.2;2.17
-25.25;27.2;1.78
-25.2;27.2;1.22
-25.15;27.2;0
-25.1;27.2;0
-25.05;27.2;0
-25;27.2;0
-24.95;27.2;0
-24.9;27.2;0
-27.1;27.25;0
-27.05;27.25;0
-27;27.25;0
-26.95;27.25;0
-26.9;27.25;0
-26.85;27.25;2.27
-26.8;27.25;5.86
-26.75;27.25;12.39
-26.7;27.25;17.95
-26.65;27.25;22.15
-26.6;27.25;25.17
-26.55;27.25;27.27
-26.5;27.25;28.77
-26.45;27.25;29.61
-26.4;27.25;29.76
-26.35;27.25;29.26
-26.3;27.25;28.05
-26.25;27.25;26.25
-26.2;27.25;23.61
-26.15;27.25;19.95
-26.1;27.25;14.96
-26.05;27.25;9.27
-26;27.25;2.88
-25.95;27.25;2.5
-25.9;27.25;2.74
-25.85;27.25;2.96
-25.8;27.25;3.78
-25.75;27.25;4.93
-25.7;27.25;5.6
-25.65;27.25;5.82
-25.6;27.25;5.6
-25.55;27.25;5
-25.5;27.25;3.9
-25.45;27.25;2.99
-25.4;27.25;2.8
-25.35;27.25;2.56
-25.3;27.25;2.26
-25.25;27.25;1.89
-25.2;27.25;1.37
-25.15;27.25;0
-25.1;27.25;0
-25.05;27.25;0
-25;27.25;0
-24.95;27.25;0
-24.9;27.25;0
-27.1;27.3;0
-27.05;27.3;0
-27;27.3;0
-26.95;27.3;0
-26.9;27.3;0
-26.85;27.3;2.6
-26.8;27.3;7.96
-26.75;27.3;14.23
-26.7;27.3;19.78
-26.65;27.3;23.73
-26.6;27.3;26.59
-26.55;27.3;28.71
-26.5;27.3;30.2
-26.45;27.3;30.99
-26.4;27.3;31.13
-26.35;27.3;30.63
-26.3;27.3;29.5
-26.25;27.3;27.63
-26.2;27.3;25.15
-26.15;27.3;21.71
-26.1;27.3;17.03
-26.05;27.3;11.18
-26;27.3;4.26
-25.95;27.3;2.69
-25.9;27.3;2.88
-25.85;27.3;3.27
-25.8;27.3;4.84
-25.75;27.3;5.9
-25.7;27.3;6.5
-25.65;27.3;6.66
-25.6;27.3;6.39
-25.55;27.3;5.75
-25.5;27.3;4.61
-25.45;27.3;3.08
-25.4;27.3;2.87
-25.35;27.3;2.62
-25.3;27.3;2.32
-25.25;27.3;1.94
-25.2;27.3;1.42
-25.15;27.3;0
-25.1;27.3;0
-25.05;27.3;0
-25;27.3;0
-24.95;27.3;0
-24.9;27.3;0
-27.1;27.35;0
-27.05;27.35;0
-27;27.35;0
-26.95;27.35;0
-26.9;27.35;1.09
-26.85;27.35;2.8
-26.8;27.35;9.4
-26.75;27.35;15.67
-26.7;27.35;20.98
-26.65;27.35;24.77
